RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,58.75,137,98,24.5,94,333,83.25,188,139,34.75,137,4,0,2,NO
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,340,68.0,252,96,19.2,64,436,87.2,252,262,52.4,252,5,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1246,89.0,545,220,15.714285714285714,81,1466,104.71428571428571,545,1026,73.28571428571429,545,14,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,121,40.333333333333336,81,29,9.666666666666666,29,150,50.0,81,92,30.666666666666668,81,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,195,48.75,168,15,3.75,12,210,52.5,168,180,45.0,168,4,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,633,70.33333333333333,487,162,18.0,104,795,88.33333333333333,487,551,61.22222222222222,487,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,210,42.0,124,6,1.2,2,216,43.2,124,204,40.8,124,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,621,88.71428571428571,536,70,10.0,26,691,98.71428571428571,536,557,79.57142857142857,536,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,168,33.6,133,19,3.8,14,187,37.4,133,149,29.8,133,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,164,54.666666666666664,151,7,2.3333333333333335,6,171,57.0,151,157,52.333333333333336,151,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,147.0,147,0,0.0,0,147,147.0,147,147,147.0,147,1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,269,53.8,126,132,26.4,113,401,80.2,226,141,28.2,126,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,280,70.0,249,9,2.25,8,289,72.25,249,271,67.75,249,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1040,115.55555555555556,410,492,54.666666666666664,401,1532,170.22222222222223,802,548,60.888888888888886,410,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,931,155.16666666666666,714,203,33.833333333333336,121,1134,189.0,714,882,147.0,714,6,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,212,53.0,204,7,1.75,4,219,54.75,204,205,51.25,204,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,26.5,50,3,1.5,3,56,28.0,50,50,25.0,50,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,207,41.4,184,22,4.4,16,229,45.8,184,185,37.0,184,5,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,22.0,61,5,1.6666666666666667,4,71,23.666666666666668,61,61,20.333333333333332,61,3,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,210,26.25,167,53,6.625,26,263,32.875,167,181,22.625,167,8,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,92,23.0,80,11,2.75,7,103,25.75,80,81,20.25,80,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,133,44.333333333333336,83,49,16.333333333333332,46,182,60.666666666666664,92,84,28.0,83,3,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1462,121.83333333333333,547,700,58.333333333333336,520,2162,180.16666666666666,1040,770,64.16666666666667,547,12,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,288,41.142857142857146,198,40,5.714285714285714,16,328,46.857142857142854,198,252,36.0,198,7,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,232,25.77777777777778,140,63,7.0,17,295,32.77777777777778,140,171,19.0,140,9,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,224,37.333333333333336,178,28,4.666666666666667,9,252,42.0,178,196,32.666666666666664,178,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,19.0,67,9,2.25,7,85,21.25,67,67,16.75,67,4,0,3,NO
